from,to,cost
1016041,1014872,4533.63
1016041,1014971,3929.4
1016041,1014972,3937.46
1016041,1015901,4533.63
1016041,1015902,4301.39
1016041,1016041,48.5235
1016041,1016042,290.816
1016041,1016111,2412.34
1016041,1016112,2092.46
1016041,1016191,2998.88
1016041,1016192,3937.46
1016041,1016201,2998.88
1016041,1016202,2647.77
1016041,1016261,4301.39
1016041,1016262,3937.46
1016041,1016811,1052.83
1016041,1016812,441.48
1016041,1017341,304.557
1016041,1017342,441.48
1016041,1017351,304.557
1016041,1017352,304.557
1016041,1017391,1592.78
1016041,1017392,2092.46
1016041,1017411,1592.78
1016041,1017412,1440.28
1016041,1017441,2092.46
1016041,1017442,2647.77
1016041,1017451,2092.46
1016041,1017452,1972.22
1016041,1017531,441.48
1016041,1017541,441.48
1016041,1017542,1050.65
1016041,1017551,2647.77
1016041,1017552,2567.98
1016041,1017911,170.687
1016041,1017912,170.687
1016041,1018111,2567.98
1016041,1018112,1972.22
1016041,1018121,2567.98
1016041,1018122,2546.02
1016041,1018301,290.816
1016041,1018302,1035.57
1016041,1018311,290.816
1016041,1018312,637.353
1016041,1018441,1050.65
1016041,1018442,1035.57
1016041,1018451,1050.65
1016041,1018452,1435.16
1016041,1018721,1035.57
1016041,1018722,1440.28
1016041,1018731,1035.57
1016041,1018732,1203.31
1016041,1018891,1972.22
1016041,1018892,1621.15
1016041,1018901,1972.22
1016041,1018902,1988.46
1016041,1019451,1621.15
1016041,1019452,1988.46
1016041,1019461,1440.28
1016041,1019462,1601.85
1016041,1019761,666.639
1016041,1019762,1203.31
1016041,1020361,1203.31
1016041,1020362,1601.85
1016041,1020371,1203.31
1016041,1020372,1462.94
1016041,1020561,1988.46
1016041,1020562,2060.7
1016041,1020571,1988.46
1016041,1020572,2314.97
1016041,1020821,1601.85
1016041,1020822,2060.7
1016041,1020831,1601.85
1016041,1020832,2115.4
1016041,1021601,2314.97
1016041,1021602,2546.02
1016041,1021781,2546.02
1016041,1021782,2652.98
1016041,1058031,4622.9
1016041,1058032,4576.3
1016041,1058051,1254.13
1016041,1058052,1050.65
1016042,1014661,4429.38
1016042,1014662,4295.08
1016042,1014861,4356.17
1016042,1014862,3717.06
1016042,1014871,4356.17
1016042,1014872,4295.08
1016042,1014971,3717.06
1016042,1014972,3698.6
1016042,1015901,4295.08
1016042,1015902,4060.58
1016042,1016041,339.337
1016042,1016042,290.816
1016042,1016111,2211.27
1016042,1016112,1841.39
1016042,1016191,2776.77
1016042,1016192,3698.6
1016042,1016201,2776.77
1016042,1016202,2389.74
1016042,1016261,4060.58
1016042,1016262,3698.6
1016042,1016811,943.969
1016042,1016812,329.763
1016042,1017341,441.441
1016042,1017342,329.763
1016042,1017351,441.441
1016042,1017352,290.816
1016042,1017391,1353.11
1016042,1017392,1841.39
