tsdlinkid,avgspeed
1013391,50
1013392,50
1013411,41
1013412,41
1013431,30
1013432,30
1013451,46
1013452,46
1013471,50
1013472,50
1013491,31
1013492,31
1013501,50
1013502,50
1013511,50
1013512,50
1013531,38
1013532,41
1013541,50
1013542,50
1013551,30
1013552,30
1013571,50
1013572,50
1013671,50
1013672,50
1013681,49
1013682,50
1013691,50
1013692,50
1013721,30
1013722,30
1013731,50
1013732,50
1013741,30
1013742,30
1013751,50
1013752,50
1013761,50
1013762,50
1013771,50
1013772,50
1013781,40
1013782,40
1013801,30
1013802,30
1013811,50
1013812,50
1013821,50
1013822,50
1013831,30
1013832,30
1013841,50
1013842,50
1013851,50
1013852,50
1013861,50
1013862,50
1013881,39
1013882,39
1013901,50
1013902,50
1013911,50
1013912,50
1013921,50
1013922,49
1013942,40
1013961,40
1013971,30
1013972,30
1013981,50
1013982,50
1013991,50
1013992,50
1014001,36
1014002,36
1014011,40
1014012,40
1014021,40
1014022,40
1014031,50
1014032,50
1014042,50
1014051,50
1014052,50
1014061,50
1014071,50
1014072,50
1014081,50
1014082,50
1014091,50
1014092,50
1014111,50
1014112,50
1014131,50
1014132,50
1014141,30
1014142,30
1014151,50
1014152,50
1014181,50
1014182,50
1014191,40
1014192,40
1014202,48
1014211,50
1014212,49
1014221,50
1014222,50
1014231,50
1014232,50
1014241,30
1014242,30
1014251,50
1014252,50
1014261,50
1014262,50
1014271,50
1014272,50
1014281,40
1014282,40
1014301,50
1014302,50
1014311,40
1014312,40
1014321,50
1014322,50
1014331,49
1014332,50
1014371,30
1014372,30
1014381,47
1014382,50
1014391,50
1014392,50
1014411,50
1014412,50
1014421,56
1014422,56
1014431,50
1014432,50
1014441,50
1014442,50
1014451,30
1014452,30
1014461,50
1014462,50
1014471,50
1014472,50
1014481,40
1014482,40
1014491,50
1014492,50
1014572,40
1014591,40
1014592,40
1014601,50
1014602,50
1014612,40
1014621,100
1014622,100
1014631,50
1014632,50
1014641,50
1014642,40
1014662,50
1014671,50
1014672,40
1014691,40
1014692,40
1014701,50
1014702,50
1014781,50
1014782,50
1014791,30
1014792,30
1014801,50
1014802,50
1014811,47
1014812,50
1014821,50
1014822,50
1014841,50
1014842,50
1014851,40
1014852,40
1014861,30
1014862,30
1014871,50
1014872,50
1014881,30
1014882,30
1014891,30
1014892,30
1014901,50
1014902,50
1014911,50
1014912,50
1014921,40
1014922,30
1014931,50
1014932,50
1014941,50
1014942,50
1014961,30
1014962,30
1014971,30
1014972,30
1014981,50
1014982,50
1015001,50
1015002,50
1015021,30
1015022,30
1015031,50
1015032,50
1015041,30
1015042,30
1015051,33
1015052,33
1015061,50
1015062,50
1015191,30
1015192,30
1015201,30
1015202,30
1015211,30
1015212,30
1015221,50
1015222,50
1015231,30
1015232,30
1015261,51
1015262,50
1015271,50
1015272,50
1015281,50
1015282,50
1015291,50
1015301,50
1015302,50
1015311,50
1015312,50
1015331,50
1015332,50
1015341,50
1015342,50
1015351,50
1015352,50
1015361,30
1015362,30
1015371,30
1015372,30
1015381,50
1015382,50
1015391,38
1015392,37
1015401,50
1015402,50
1015411,50
1015412,50
1015421,50
1015422,50
1015431,50
1015432,50
1015441,43
1015442,44
1015451,50
1015452,50
1015461,48
1015462,48
1015471,35
1015472,35
1015481,50
1015482,50
1015491,30
1015492,30
1015501,50
1015502,50
1015512,50
1015521,50
1015522,50
1015541,50
1015542,50
1015581,50
1015582,50
1015592,30
1015611,60
1015621,50
1015622,50
1015661,40
1015662,40
1015671,50
1015672,50
1015681,50
1015682,50
1015691,50
1015692,50
1015711,50
1015712,50
1015721,50
1015722,50
1015732,40
1015741,50
1015742,50
1015751,50
1015752,50
1015761,40
1015762,40
1015781,50
1015782,50
1015791,30
1015792,30
1015821,42
1015822,42
1015831,50
1015832,50
1015861,50
1015862,50
1015881,31
1015882,31
1015891,30
1015892,30
1015901,50
1015902,50
1015921,50
1015922,50
1015931,50
1015932,50
1015981,50
1015982,50
1016001,50
1016002,50
1016031,50
1016032,50
1016052,30
1016071,13
1016072,13
1016081,30
1016082,30
1016091,30
1016092,30
1016101,32
1016102,32
1016111,35
1016112,35
1016121,50
1016122,50
1016141,50
1016142,50
1016151,30
1016152,30
1016161,36
1016162,35
1016171,50
1016172,50
1016181,50
1016182,50
1016191,30
1016192,30
1016201,50
1016202,50
1016211,50
1016212,50
1016221,33
1016222,33
1016231,39
1016232,39
1016251,50
1016252,49
1016261,35
1016262,30
1016271,50
1016272,50
1016391,40
1016392,40
1016401,52
1016411,50
1016412,50
1016421,47
1016422,48
1016452,40
1016481,40
1016511,50
1016512,50
1016521,30
1016522,30
1016531,50
1016532,50
1016541,50
1016542,50
1016551,50
1016552,50
1016561,39
1016562,39
1016571,50
1016572,50
1016581,50
1016582,50
1016591,50
1016592,50
1016601,50
1016602,50
1016611,50
1016612,50
1016621,50
1016622,50
1016631,30
1016632,30
1016641,30
1016642,30
1016671,42
1016672,42
1016681,50
1016682,50
1016751,50
1016752,50
1016761,30
1016762,30
1016771,30
1016772,30
1016781,50
1016782,50
1016791,50
1016792,50
1016811,30
1016812,30
1016821,31
1016822,30
1016831,50
1016832,50
1016841,50
1016842,50
1016851,50
1016852,50
1016861,30
1016862,30
1016871,50
1016872,50
1016921,50
1016922,50
1016931,30
1016932,30
1016941,10
1016942,10
1016961,48
1016962,48
1016971,30
1016972,30
1016981,50
1016982,50
1016991,50
1016992,50
1017001,30
1017002,34
1017011,50
1017012,50
1017021,50
1017022,50
1017031,37
1017032,37
1017041,30
1017042,30
1017061,30
1017071,50
1017072,50
1017081,50
1017082,50
1017091,50
1017092,50
1017101,33
1017102,30
1017111,50
1017112,50
1017121,36
1017122,36
1017131,50
1017132,50
1017261,50
1017262,50
1017271,50
1017272,50
1017281,50
1017282,50
1017291,50
1017292,50
1017301,50
1017302,50
1017311,50
1017312,50
1017321,30
1017322,50
1017331,30
1017332,30
1017341,30
1017342,30
1017351,50
1017352,50
1017371,30
1017372,30
1017381,50
1017382,50
1017391,60
1017392,60
1017411,50
1017412,50
1017441,51
1017442,51
1017451,30
1017452,30
1017461,50
1017462,50
